CID,OrderID,product_name,product_description,OrderDate,Quantity,OrderAmount,OrderStatus,ReturnStatus,ReturnStartDate,ReturnReceivedDate,ReturnCompletedDate,ReturnReason,Notes
4165,52768,JETSON NANO DEVELOPER KIT,"The power of modern AI is now available for makers, learners, and embedded developers everywhere.

NVIDIA® Jetson Nano Developer Kit is a small, powerful computer that lets you run multiple neural networks in parallel for applications like image classification, object detection, segmentation, and speech processing. All in an easy-to-use platform that runs in as little as 5 watts.

It’s simpler than ever to get started! Just insert a microSD card with the system image, boot the developer kit, and enjoy using the same NVIDIA JetPack SDK used across the NVIDIA Jetson™ family of products.

This version of Jetson Nano Developer Kit has two camera connectors.",2024-10-05T10:00:00,2,298.0,Delivered,"",,,,,
4165,4065,NVIDIA® GEFORCE RTX™ 4090,"The NVIDIA® GeForce RTX® 4090 is the ultimate GeForce GPU. It brings an enormous leap in performance, efficiency, and AI-powered graphics. Experience ultra-high performance gaming, incredibly detailed virtual worlds, unprecedented productivity, and new ways to create. It’s powered by the NVIDIA Ada Lovelace architecture and comes with 24 GB of G6X memory to deliver the ultimate experience for gamers and creators.

CUDA Cores: 16384
Boost Clock: 2.52 GHz
Memory Configuration: 24GB GDDR6X

Please refer to the graphics card comparison page for a full list of specifications: https://www.nvidia.com/en-us/geforce/graphics-cards/compare/",2024-10-10T14:00:00,1,1599.0,Return Requested,Requested,2024-10-12T14:00:00,,,Received a faulty unit that doesn't display correctly.,
4165,69268,NVIDIA® GEFORCE RTX™ 4070,"Get equipped for stellar gaming and creating with the NVIDIA® GeForce RTX™ 4070. It’s built with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience fast ray tracing, AI-accelerated performance with DLSS 3, new ways to create, and much more.

CUDA Cores: 5888
Boost Clock: 2.48 GHz
Memory Configuration: 12GB GDDR6X
Model 900-1G141-2544-000",2024-10-01T09:30:00,1,599.0,Delivered,"",,,,,
4165,71110,NVIDIA® SHIELD™ REMOTE (2020),"Motion-activated, backlit buttons
Mic for voice search and control
Bluetooth connectivity
IR for TV control
Built-in lost remote locator
930-13700-2500-100",2024-10-15T16:00:00,3,164.97,Returned,Approved,,2024-10-18T16:00:00,2024-11-02T16:00:00,Item stopped functioning correctly within a week.,
4165,15620,NVIDIA® SHIELD™ TV PRO 2019,"NVIDIA® SHIELD® TV Pro is the supreme streaming media player - packed with features to make even the most demanding users proud. Beautifully designed to be the perfect centerpiece of your entertainment center. Enjoy a cinematic experience with stunning visuals brought to you by Dolby Vision HDR, and immersive audio with Dolby Atmos surround sound. Now powered by the latest NVIDIA Tegra X1+ processor, SHIELD TV is faster, and smarter. Level up to SHIELD TV Pro for more storage space, two USB 3.0 ports for expandability (storage expansion, USB cameras, USB keyboards and controllers, TV tuners, and more), Plex Media Server, SmartThings hub-ready (just add a SmartThings Link), AAA Android gaming, Twitch broadcasting, and 3GB RAM.",2024-10-03T11:30:00,1,199.99,Delivered,"",,,,,
4165,15848,NVIDIA® GEFORCE™ RTX 4060TI 8GB,"Game, stream, create. The GeForce RTX™ 4060 Ti lets you take on the latest games and apps with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience immersive, AI-accelerated gaming with ray tracing and DLSS 3, and supercharge your creative process and productivity with NVIDIA Studio

CUDA Cores: 4352
Boost Clock: 2.54 GHz
Memory Configuration: 8GB GDDR6",2024-10-07T08:45:00,4,1196.0,Canceled,"",,,,,Order canceled due to payment processing issues.
4165,13955,NVIDIA® GEFORCE RTX™ 4070 SUPER,"Product Description: Get equipped for supercharged gaming and creating with the NVIDIA® GeForce RTX™ 4070 SUPER. It’s built with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience super-fast ray tracing, AI-accelerated performance with DLSS 3, new ways to create, and much more.

CUDA Cores: 7168
Boost Clock: 2.48 GHz
Memory Configuration: 12GB GDDR6X",2024-10-16T15:00:00,2,1598.0,Return Requested,Pending Approval,2024-10-18T15:00:00,,,The performance did not meet expectations.,
4165,51115,NVIDIA SMALL INFINITY MOUSEPAD,"Dimensions: 10""x8""
Anti-slip base keeps the mousepad from sliding around
Smooth surface for maximized speed, accuracy, and control
Crafted so edges remain flat
For use on any flat, hard surface",2024-10-05T12:00:00,5,50.0,Delivered,"",,,,,
4165,67932,COMPUTER CARE KIT,"Whether you want to show off some cool laptop stickers, clean your electronics in style or cover your webcam, this is the kit for you!

This Computer Care Kit contains:

Razor Webcam Cover
Screen cleaner
5-piece sticker set (Features 2 new sheet designs and 3 NVIDIA stickers)
Size: 7"" x 9""",2024-10-09T13:00:00,6,72.0,Returned,Rejected,,2024-10-18T13:00:00,,Item was opened and used.,Return rejected as the product was not in original condition.
4165,62025,GEFORCE ABSTRACTION TEE UNISEX,"Retail fit
90% cotton/10% poly
Machine wash
Imported",2024-10-11T17:00:00,3,48.0,In Transit,"",,,,,Order has been delayed due to shipping issues.
125,88153,NVIDIA® GEFORCE RTX™ 4080,"The NVIDIA® GeForce RTX™ 4080 delivers the ultra performance and features that enthusiast gamers and creators demand. Bring your games and creative projects to life with ray tracing and AI-powered graphics. It's powered by the ultra-efficient NVIDIA Ada Lovelace architecture and 16GB of superfast G6X memory.

CUDA Cores: 9728
Boost Clock: 2.51 GHz
Memory Configuration: 16GB GDDR6X
Please refer to the graphics card comparison page for a full list of specifications: https://www.nvidia.com/en-us/geforce/graphics-cards/compare/",2024-10-10T14:30:00,2,2398.0,Delivered,"",,,,,
125,7035,NVIDIA® GEFORCE RTX™ 4090,"The NVIDIA® GeForce RTX® 4090 is the ultimate GeForce GPU. It brings an enormous leap in performance, efficiency, and AI-powered graphics. Experience ultra-high performance gaming, incredibly detailed virtual worlds, unprecedented productivity, and new ways to create. It’s powered by the NVIDIA Ada Lovelace architecture and comes with 24 GB of G6X memory to deliver the ultimate experience for gamers and creators.

CUDA Cores: 16384
Boost Clock: 2.52 GHz
Memory Configuration: 24GB GDDR6X

Please refer to the graphics card comparison page for a full list of specifications: https://www.nvidia.com/en-us/geforce/graphics-cards/compare/",2024-10-15T10:00:00,1,1599.0,Return Requested,Requested,2024-10-16T10:00:00,,,Product did not perform as expected.,
125,17774,JETSON NANO DEVELOPER KIT,"The power of modern AI is now available for makers, learners, and embedded developers everywhere.

NVIDIA® Jetson Nano Developer Kit is a small, powerful computer that lets you run multiple neural networks in parallel for applications like image classification, object detection, segmentation, and speech processing. All in an easy-to-use platform that runs in as little as 5 watts.

It’s simpler than ever to get started! Just insert a microSD card with the system image, boot the developer kit, and enjoy using the same NVIDIA JetPack SDK used across the NVIDIA Jetson™ family of products.

This version of Jetson Nano Developer Kit has two camera connectors.",2024-10-12T09:00:00,4,596.0,Returned,Approved,,2024-10-17T09:00:00,2024-11-02T09:00:00,Compatibility issues with existing hardware.,
125,45309,NVIDIA® GEFORCE™ RTX 4060TI 8GB,"Game, stream, create. The GeForce RTX™ 4060 Ti lets you take on the latest games and apps with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience immersive, AI-accelerated gaming with ray tracing and DLSS 3, and supercharge your creative process and productivity with NVIDIA Studio

CUDA Cores: 4352
Boost Clock: 2.54 GHz
Memory Configuration: 8GB GDDR6",2024-10-14T16:00:00,3,897.0,Shipped,"",,,,,
125,46869,NVIDIA® SHIELD™ REMOTE (2020),"Motion-activated, backlit buttons
Mic for voice search and control
Bluetooth connectivity
IR for TV control
Built-in lost remote locator
930-13700-2500-100",2024-10-05T12:30:00,5,274.95,Delivered,"",,,,,
125,74210,NVIDIA® SHIELD™ TV 2019,"NVIDIA® SHIELD® TV is the ultimate streaming media player for the modern living room. Enjoy a cinematic experience with stunning visuals brought to you by Dolby Vision HDR, and immersive audio with Dolby Atmos surround sound. The new SHIELD TV is compact, stealth, and designed to disappear behind your entertainment center, right along with your cables. Now powered by the latest NVIDIA Tegra X1+ processor, SHIELD TV is faster, and smarter. Level up. Experience more.",2024-10-18T08:15:00,1,199.0,Pending,"",,,,,
125,39550,NVIDIA® SHIELD™ TV PRO 2019,"NVIDIA® SHIELD® TV Pro is the supreme streaming media player - packed with features to make even the most demanding users proud. Beautifully designed to be the perfect centerpiece of your entertainment center. Enjoy a cinematic experience with stunning visuals brought to you by Dolby Vision HDR, and immersive audio with Dolby Atmos surround sound. Now powered by the latest NVIDIA Tegra X1+ processor, SHIELD TV is faster, and smarter. Level up to SHIELD TV Pro for more storage space, two USB 3.0 ports for expandability (storage expansion, USB cameras, USB keyboards and controllers, TV tuners, and more), Plex Media Server, SmartThings hub-ready (just add a SmartThings Link), AAA Android gaming, Twitch broadcasting, and 3GB RAM.",2024-10-02T11:45:00,2,399.98,Returned,Rejected,,2024-10-10T11:45:00,,The device did not integrate properly with existing equipment.,Return has been rejected due to insufficient compatibility information provided.
125,19498,WOMEN'S BEYOND YOGA MOVEMENT SKIRT,"Beyond Yoga Spacedye lined Movement skirt has comfortable built-in shorts.  Made with the classic A-line flare and curved hem at bottom.  Super comfortable and flattering active skirt.  Reflective NVIDIA logo on hem.

Product Details:

3"" waistband sits at natural waist
15 in. length
87% polyester/13% elastane",2024-10-06T14:20:00,3,264.0,In Transit,"",,,,,
125,85593,GEFORCE TRIANGULATION TEE UNISEX,"90/10 airlume combed and ring spun cotton/polyester
Retail fit
Tear-away label
Side seamed
Shoulder taping",2024-10-08T17:30:00,8,128.0,Cancelled,"",,,,,Order cancelled due to processing delays.
125,89350,14 OZ. I AM AI MUG,"14 oz. ceramic mug features a barrel design, large handle, matte exterior finish and gloss colored interior.

Product Details:

3-5/8"" H x 3-5/8 (5 w/handle)""
Hand wash recommended
Microwave safe",2024-10-17T15:15:00,6,57.0,Processing,"",,,,,
5603,36121,NVIDIA JETSON ORIN NANO DEVELOPER KIT,"The NVIDIA® Jetson Orin™ Nano Developer Kit sets a new standard for creating entry-level AI-powered robots, smart drones, and intelligent cameras. Compact design, lots of connectors, and up to 40 TOPS of AI performance deliver everything you need to transform your visionary concepts into reality.

With up to 80X the performance of Jetson Nano, the developer kit can run all modern AI models, including those for transformer and advanced robotics. It features a Jetson Orin Nano 8GB module, a reference carrier board that can accommodate all Orin Nano and Orin NX modules, and the power to run the entire NVIDIA AI software stack. This gives you the ideal platform for prototyping your next-gen edge AI solution.

Get started with your AI journey!",2024-10-05T10:00:00,3,1498.85,Delivered,"",,,,,
5603,47597,JETSON NANO DEVELOPER KIT,"The power of modern AI is now available for makers, learners, and embedded developers everywhere.

NVIDIA® Jetson Nano Developer Kit is a small, powerful computer that lets you run multiple neural networks in parallel for applications like image classification, object detection, segmentation, and speech processing. All in an easy-to-use platform that runs in as little as 5 watts.

It’s simpler than ever to get started! Just insert a microSD card with the system image, boot the developer kit, and enjoy using the same NVIDIA JetPack SDK used across the NVIDIA Jetson™ family of products.

This version of Jetson Nano Developer Kit has two camera connectors.",2024-10-12T11:30:00,2,298.0,Return Requested,Requested,2024-10-17T11:30:00,,,Incompatibility with existing hardware.,
5603,58681,NVIDIA® GEFORCE RTX™ 4080,"The NVIDIA® GeForce RTX™ 4080 delivers the ultra performance and features that enthusiast gamers and creators demand. Bring your games and creative projects to life with ray tracing and AI-powered graphics. It's powered by the ultra-efficient NVIDIA Ada Lovelace architecture and 16GB of superfast G6X memory.

CUDA Cores: 9728
Boost Clock: 2.51 GHz
Memory Configuration: 16GB GDDR6X
Please refer to the graphics card comparison page for a full list of specifications: https://www.nvidia.com/en-us/geforce/graphics-cards/compare/",2024-10-01T14:45:00,1,1199.0,Returned,Approved,,2024-10-03T14:45:00,2024-10-20T14:45:00,Product did not meet performance expectations.,
5603,54706,NVIDIA® SHIELD™ TV 2019,"NVIDIA® SHIELD® TV is the ultimate streaming media player for the modern living room. Enjoy a cinematic experience with stunning visuals brought to you by Dolby Vision HDR, and immersive audio with Dolby Atmos surround sound. The new SHIELD TV is compact, stealth, and designed to disappear behind your entertainment center, right along with your cables. Now powered by the latest NVIDIA Tegra X1+ processor, SHIELD TV is faster, and smarter. Level up. Experience more.",2024-10-08T09:00:00,1,199.0,Shipped,"",,,,,
5603,1643,NVIDIA® GEFORCE RTX™ 4090,"The NVIDIA® GeForce RTX® 4090 is the ultimate GeForce GPU. It brings an enormous leap in performance, efficiency, and AI-powered graphics. Experience ultra-high performance gaming, incredibly detailed virtual worlds, unprecedented productivity, and new ways to create. It’s powered by the NVIDIA Ada Lovelace architecture and comes with 24 GB of G6X memory to deliver the ultimate experience for gamers and creators.

CUDA Cores: 16384
Boost Clock: 2.52 GHz
Memory Configuration: 24GB GDDR6X

Please refer to the graphics card comparison page for a full list of specifications: https://www.nvidia.com/en-us/geforce/graphics-cards/compare/",2024-10-10T16:00:00,2,3198.0,Cancelled,"",,,,,Order cancelled due to payment issues.
5603,57160,NVIDIA® GEFORCE RTX™ 4070,"Get equipped for stellar gaming and creating with the NVIDIA® GeForce RTX™ 4070. It’s built with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience fast ray tracing, AI-accelerated performance with DLSS 3, new ways to create, and much more.

CUDA Cores: 5888
Boost Clock: 2.48 GHz
Memory Configuration: 12GB GDDR6X
Model 900-1G141-2544-000",2024-10-03T13:15:00,1,599.0,Returned,Rejected,,2024-10-05T13:15:00,,Not suitable for VR applications.,Performance issue not covered under warranty.
5603,6394,NVIDIA® SHIELD™ REMOTE (2020),"Motion-activated, backlit buttons
Mic for voice search and control
Bluetooth connectivity
IR for TV control
Built-in lost remote locator
930-13700-2500-100",2024-10-04T15:00:00,4,219.96,In Transit,"",,,,,
5603,46575,NORTH FACE WOMEN'S TREKKER JACKET,"Designed with baffles contoured to fit your body, this streamlined jacket offers lightweight, highly compressible synthetic insulation.
The Trekker jacket will keep you warmer regardless of the conditions.

 Product Details:
15D 33 g/m2 100% nylon with durable water-repellent (DWR) finish
Partially constructed from recycled fabrications
Interior left chest zippered pocket
Interior elastic cuffs
Secure-zip hand pockets
Stows in left hand pocket
Hem cinch-cord",2024-10-14T12:00:00,2,458.0,Processing,"",,,,,Processing delay due to high order volume.
5603,9145,TIMBUK2 LAPTOP SLEEVE - 2 SIZES,"A protective case with contemporary styling, this accessory begs to be carried in your hand, but will agree to sit inside a bag, for a moment. Sized to fit a laptop, cords, phone, it carries and protects everything you really need.  Easily stows inside a bag or can be used independently with the wrist strap. Eco Black

Product Details:

Lots of stretchy pockets and internal webbing to maximize organization
Extra padding inside to protect all your contents
100% recycled nylon from pre-consumer material


Available in 2 Sizes:

Fits up to most 13"" laptops:  14.2"" W x 10.6"" H x .984"" D (L)

Fits up to most 16"" laptops:  15.2"" W x 11.6"" H x .984"" D (XL)",2024-10-11T09:30:00,1,55.0,Returned,Approved,,2024-10-13T09:30:00,2024-10-28T09:30:00,Size too small for my laptop.,
5603,65042,MEN'S LULULEMON ABC JOGGER,"Everyday performance featuring shape retention, quick-drying, four-way stretch, breathable and wrinkle-resistant.

Product Details:

Intended to sit just above ankle for 30"" inseam
Designed to sit 2-3 inches below your natural waist, it is recommend to measure your waist and adding an inch
Streamlined fit that gives glutes and thighs breathing room, then tapers to hem
Feels smooth, falls softly away from body
Wear the drawcord out or hide it inside for a flat waistband
Hidden media and coin pockets
Secure back pocket",2024-10-15T18:00:00,5,575.0,Delivered,"",,,,,
9522,50433,NVIDIA® GEFORCE RTX™ 4070 SUPER,"Product Description: Get equipped for supercharged gaming and creating with the NVIDIA® GeForce RTX™ 4070 SUPER. It’s built with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience super-fast ray tracing, AI-accelerated performance with DLSS 3, new ways to create, and much more.

CUDA Cores: 7168
Boost Clock: 2.48 GHz
Memory Configuration: 12GB GDDR6X",2024-10-10T10:00:00,2,1598.0,Delivered,"",,,,,
9522,68658,NVIDIA® GEFORCE RTX™ 4090,"The NVIDIA® GeForce RTX® 4090 is the ultimate GeForce GPU. It brings an enormous leap in performance, efficiency, and AI-powered graphics. Experience ultra-high performance gaming, incredibly detailed virtual worlds, unprecedented productivity, and new ways to create. It’s powered by the NVIDIA Ada Lovelace architecture and comes with 24 GB of G6X memory to deliver the ultimate experience for gamers and creators.

CUDA Cores: 16384
Boost Clock: 2.52 GHz
Memory Configuration: 24GB GDDR6X

Please refer to the graphics card comparison page for a full list of specifications: https://www.nvidia.com/en-us/geforce/graphics-cards/compare/",2024-10-15T14:30:00,1,1599.0,Returned,Approved,2024-10-16T14:30:00,2024-10-18T14:30:00,2024-11-02T14:30:00,Product was too advanced for my current needs.,
9522,3480,NVIDIA® SHIELD™ TV PRO 2019,"NVIDIA® SHIELD® TV Pro is the supreme streaming media player - packed with features to make even the most demanding users proud. Beautifully designed to be the perfect centerpiece of your entertainment center. Enjoy a cinematic experience with stunning visuals brought to you by Dolby Vision HDR, and immersive audio with Dolby Atmos surround sound. Now powered by the latest NVIDIA Tegra X1+ processor, SHIELD TV is faster, and smarter. Level up to SHIELD TV Pro for more storage space, two USB 3.0 ports for expandability (storage expansion, USB cameras, USB keyboards and controllers, TV tuners, and more), Plex Media Server, SmartThings hub-ready (just add a SmartThings Link), AAA Android gaming, Twitch broadcasting, and 3GB RAM.",2024-10-12T09:00:00,1,199.99,Delivered,"",,,,,
9522,36447,NVIDIA® GEFORCE™ RTX 4060TI 8GB,"Game, stream, create. The GeForce RTX™ 4060 Ti lets you take on the latest games and apps with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience immersive, AI-accelerated gaming with ray tracing and DLSS 3, and supercharge your creative process and productivity with NVIDIA Studio

CUDA Cores: 4352
Boost Clock: 2.54 GHz
Memory Configuration: 8GB GDDR6",2024-10-05T11:15:00,4,1196.0,Return Requested,Pending Approval,2024-10-07T11:15:00,,,Incompatibility with existing hardware.,
9522,51111,NVIDIA JETSON ORIN NANO DEVELOPER KIT,"The NVIDIA® Jetson Orin™ Nano Developer Kit sets a new standard for creating entry-level AI-powered robots, smart drones, and intelligent cameras. Compact design, lots of connectors, and up to 40 TOPS of AI performance deliver everything you need to transform your visionary concepts into reality.

With up to 80X the performance of Jetson Nano, the developer kit can run all modern AI models, including those for transformer and advanced robotics. It features a Jetson Orin Nano 8GB module, a reference carrier board that can accommodate all Orin Nano and Orin NX modules, and the power to run the entire NVIDIA AI software stack. This gives you the ideal platform for prototyping your next-gen edge AI solution.

Get started with your AI journey!",2024-10-09T16:45:00,2,999.9,Shipped,"",,,,,
9522,99510,NVIDIA® GEFORCE RTX™ 4070,"Get equipped for stellar gaming and creating with the NVIDIA® GeForce RTX™ 4070. It’s built with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience fast ray tracing, AI-accelerated performance with DLSS 3, new ways to create, and much more.

CUDA Cores: 5888
Boost Clock: 2.48 GHz
Memory Configuration: 12GB GDDR6X
Model 900-1G141-2544-000",2024-10-14T10:30:00,3,1797.0,Delivered,"",,,,,
9522,20539,JETSON NANO DEVELOPER KIT,"The power of modern AI is now available for makers, learners, and embedded developers everywhere.

NVIDIA® Jetson Nano Developer Kit is a small, powerful computer that lets you run multiple neural networks in parallel for applications like image classification, object detection, segmentation, and speech processing. All in an easy-to-use platform that runs in as little as 5 watts.

It’s simpler than ever to get started! Just insert a microSD card with the system image, boot the developer kit, and enjoy using the same NVIDIA JetPack SDK used across the NVIDIA Jetson™ family of products.

This version of Jetson Nano Developer Kit has two camera connectors.",2024-10-01T08:00:00,5,745.0,Returned,Rejected,2024-10-03T08:00:00,2024-10-06T08:00:00,,Product did not meet expectations for AI projects.,Return request rejected due to misuse claims.
9522,93281,IGLOO COAST COOLER,"The Igloo Seadrift Cooler collection features MaxCold® insulation more foam to keep drinks and food cooler longer and a classic colorblock design.

Features MaxCold® insulation with 25% more foam to keep drinks and food cooler longer
Dual zippered opening to large main compartment
Dual side pockets for water bottles and other belongings
Top hatch for easy, quick access to main compartment
Deep, gusseted front zippered pocket for additional storage
Comfortable, rubberized dual carry handles secure together effortlessly
Adjustable, removable shoulder strap with shoulder pad
PEVA heat-sealed lining
PVC and Phthalate free
36 can capacity",2024-10-04T12:00:00,1,95.0,In Transit,"",,,,,
9522,47589,NVIDIA LIGHTWEIGHT HOODIE,"78 oz., 52% Airlume combed and ring spun cotton, 48% polyester fleece
White cord drawstring
Retail fit
Kangaroo pockets
Ribbed cuffs and waistband",2024-10-20T15:00:00,3,120.0,Processing,"",,,,,Order has been in processing longer than expected.
9522,31197,MARINE LAYER CORBET FULL ZIP MEN'S,"We took the (dare we say) famous Corbet fabric and put it in a full zip jacket silhouette!

Product Details:

Black
68% Polyester, 16% Cotton, 16% Rayon
Signature Corbet Quilted Fabric
Standard fit
Wash cold, dry low
Made responsibly in China",2024-10-13T13:00:00,2,278.0,Cancelled,"",,,,,Order was cancelled due to stock issues.
6229,94036,NVIDIA® GEFORCE RTX™ 4090,"The NVIDIA® GeForce RTX® 4090 is the ultimate GeForce GPU. It brings an enormous leap in performance, efficiency, and AI-powered graphics. Experience ultra-high performance gaming, incredibly detailed virtual worlds, unprecedented productivity, and new ways to create. It’s powered by the NVIDIA Ada Lovelace architecture and comes with 24 GB of G6X memory to deliver the ultimate experience for gamers and creators.

CUDA Cores: 16384
Boost Clock: 2.52 GHz
Memory Configuration: 24GB GDDR6X

Please refer to the graphics card comparison page for a full list of specifications: https://www.nvidia.com/en-us/geforce/graphics-cards/compare/",2024-10-15T10:30:00,2,3198.0,Delivered,"",,,,,
6229,52557,NVIDIA® SHIELD™ TV PRO 2019,"NVIDIA® SHIELD® TV Pro is the supreme streaming media player - packed with features to make even the most demanding users proud. Beautifully designed to be the perfect centerpiece of your entertainment center. Enjoy a cinematic experience with stunning visuals brought to you by Dolby Vision HDR, and immersive audio with Dolby Atmos surround sound. Now powered by the latest NVIDIA Tegra X1+ processor, SHIELD TV is faster, and smarter. Level up to SHIELD TV Pro for more storage space, two USB 3.0 ports for expandability (storage expansion, USB cameras, USB keyboards and controllers, TV tuners, and more), Plex Media Server, SmartThings hub-ready (just add a SmartThings Link), AAA Android gaming, Twitch broadcasting, and 3GB RAM.",2024-10-07T14:45:00,1,199.99,Return Requested,Requested,2024-10-10T14:45:00,,,Product did not meet expectations regarding streaming quality.,
6229,96577,JETSON NANO DEVELOPER KIT,"The power of modern AI is now available for makers, learners, and embedded developers everywhere.

NVIDIA® Jetson Nano Developer Kit is a small, powerful computer that lets you run multiple neural networks in parallel for applications like image classification, object detection, segmentation, and speech processing. All in an easy-to-use platform that runs in as little as 5 watts.

It’s simpler than ever to get started! Just insert a microSD card with the system image, boot the developer kit, and enjoy using the same NVIDIA JetPack SDK used across the NVIDIA Jetson™ family of products.

This version of Jetson Nano Developer Kit has two camera connectors.",2024-10-12T09:00:00,4,596.0,Returned,Approved,,2024-10-14T09:00:00,2024-10-30T09:00:00,"Device was too complicated for intended use, not suitable for beginners.",
6229,29933,NVIDIA® SHIELD™ TV 2019,"NVIDIA® SHIELD® TV is the ultimate streaming media player for the modern living room. Enjoy a cinematic experience with stunning visuals brought to you by Dolby Vision HDR, and immersive audio with Dolby Atmos surround sound. The new SHIELD TV is compact, stealth, and designed to disappear behind your entertainment center, right along with your cables. Now powered by the latest NVIDIA Tegra X1+ processor, SHIELD TV is faster, and smarter. Level up. Experience more.",2024-10-16T11:00:00,1,199.0,Cancelled,"",,,,,Order was cancelled due to a last-minute decision.
6229,24251,NVIDIA JETSON ORIN NANO DEVELOPER KIT,"The NVIDIA® Jetson Orin™ Nano Developer Kit sets a new standard for creating entry-level AI-powered robots, smart drones, and intelligent cameras. Compact design, lots of connectors, and up to 40 TOPS of AI performance deliver everything you need to transform your visionary concepts into reality.

With up to 80X the performance of Jetson Nano, the developer kit can run all modern AI models, including those for transformer and advanced robotics. It features a Jetson Orin Nano 8GB module, a reference carrier board that can accommodate all Orin Nano and Orin NX modules, and the power to run the entire NVIDIA AI software stack. This gives you the ideal platform for prototyping your next-gen edge AI solution.

Get started with your AI journey!",2024-10-18T13:15:00,2,999.9,In Transit,"",,,,,
6229,77196,NVIDIA® SHIELD™ REMOTE (2020),"Motion-activated, backlit buttons
Mic for voice search and control
Bluetooth connectivity
IR for TV control
Built-in lost remote locator
930-13700-2500-100",2024-10-05T15:25:00,3,164.97,Returned,Approved,,2024-10-10T15:25:00,2024-10-25T15:25:00,Remote had issues with connectivity and did not sync with devices.,
6229,63802,NVIDIA® GEFORCE RTX™ 4070 SUPER,"Product Description: Get equipped for supercharged gaming and creating with the NVIDIA® GeForce RTX™ 4070 SUPER. It’s built with the ultra-efficient NVIDIA Ada Lovelace architecture. Experience super-fast ray tracing, AI-accelerated performance with DLSS 3, new ways to create, and much more.

CUDA Cores: 7168
Boost Clock: 2.48 GHz
Memory Configuration: 12GB GDDR6X",2024-10-08T16:00:00,1,799.0,Shipped,"",,,,,
6229,51961,RULER 2.0,"The new Ruler 2.0 highlights the Geforce RTX.

 Features include:

35cm/12in ruler (1mm edge to first marker)
Image from Geforce RTX 2080Ti PCB
RLCs (Resistors, Inductors and Capacitors), Mosfets and Crystals
Gold color is ENIG (Electroless Nickel Immersion Gold)
Endeavor symbol
Simulated break-off tab of a PCB
Holes to facilitate hanging
Unique Serial Numbers",2024-10-11T14:00:00,5,67.5,Return Requested,Requested,2024-10-14T14:00:00,,,Item arrived with scratches that affect the display quality.,
6229,44097,"12"" MARLED KNIT CUFF BEANIE","12"" Marled Beanie with Cuff or Slouch, Regular Gauge Knit (100% Acrylic), Stretch to Fit",2024-10-20T12:00:00,6,60.0,Delivered,"",,,,,
